"","sp.t","GrossReturn","PriceReturn","inf.crsp.t","inf.crsp","crsp.adj.GR","crsp.adj.PR"
"66",19310831,1.007779,1.002304,19310831,1,0.00777899999999998,0.00230400000000008
"67",19310930,0.712539,0.708476,19310930,0.993377,-0.282710390919057,-0.286800479576233
"68",19311031,1.076738,1.072834,19311031,0.993333,0.0839647932767762,0.0800345906156346
"69",19311130,0.899091,0.890604,19311130,0.986577,-0.0886763020017698,-0.0972787729695707
"70",19311231,0.862443,0.854529,19311231,0.993197,-0.131649612312562,-0.139617820029662
"71",19320130,0.981197,0.978933,19320130,0.979452,0.00178160849127873,-0.000529888141532098
"72",19320229,1.053581,1.045233,19320229,0.986014,0.0685253961911292,0.0600589849637025
"73",19320331,0.881093,0.874755,19320331,0.992908,-0.112613656048697,-0.118996926200615
"74",19320430,0.794705,0.792363,19320430,0.992857,-0.199577582673033,-0.201936431933299
"75",19320531,0.767877,0.759877,19320531,0.985612,-0.220913503488188,-0.229030287780587
"76",19320630,1.002768,0.993493,19320630,0.992701,0.0101410192998699,0.000797823312356893
"77",19320730,1.391838,1.390006,19320730,1,0.391838,0.390006
"78",19320831,1.401979,1.394164,19320831,0.992647,0.412364113325281,0.40449122396985
"79",19320930,0.970474,0.965882,19320930,0.992593,-0.0222840580177374,-0.0269103247756129
"80",19321031,0.857931,0.856737,19321031,0.992537,-0.135618118014744,-0.136821095838241
"81",19321130,0.947772,0.941298,19321130,0.992481,-0.0450477137597595,-0.0515707605485647
"82",19321231,1.061569,1.053749,19321231,0.992424,0.0696728414468011,0.0617931448655011
"83",19330131,1.013938,1.012575,19330131,0.984733,0.0296577854098523,0.0282736538736896
"84",19330228,0.820442,0.813965,19330228,0.984496,-0.166637548552762,-0.173216549381612
"85",19330331,1.038627,1.032581,19330331,0.992126,0.0468700548115863,0.0407760707813323
"86",19330429,1.414312,1.412291,19330429,1,0.414312,0.412291
"87",19330531,1.174816,1.170167,19330531,1,0.174816,0.170167
"88",19330630,1.137498,1.133994,19330630,1.007937,0.128540771893481,0.125064364141806
"89",19330731,0.915264,0.914529,19330731,1.031496,-0.112682938179111,-0.113395495474534
"90",19330831,1.123272,1.119807,19330831,1.007634,0.114761907597402,0.111323159004162
"91",19330930,0.881955,0.878888,19330930,1,-0.118045,-0.121112
"92",19331031,0.909377,0.908412,19331031,1,-0.090623,-0.091588
"93",19331129,1.108553,1.10207,19331129,1,0.108553,0.10207
"94",19331230,1.026694,1.02443,19331230,1,0.026694,0.02443
"95",19340131,1.115033,1.113644,19340131,1,0.115033,0.113644
"96",19340228,0.96716,0.962728,19340228,1.007576,-0.0401121106497178,-0.0445107862831191
"97",19340331,1.005355,1.002464,19340331,1,0.005355,0.00246400000000002
"98",19340430,0.97451,0.973056,19340430,1,-0.02549,-0.026944
"99",19340531,0.921503,0.917745,19340531,1,-0.078497,-0.082255
"100",19340630,1.02408,1.021102,19340630,1.007519,0.0164374071357463,0.01348163161191
"101",19340731,0.880154,0.878277,19340731,1,-0.119846,-0.121723
"102",19340831,1.05865,1.051629,19340831,1,0.0586500000000001,0.0516289999999999
"103",19340929,0.999784,0.996873,19340929,1.014925,-0.0149183437199794,-0.0177865359509324
"104",19341031,0.967337,0.966268,19341031,0.992647,-0.0254974829924434,-0.0265744015747793
"105",19341130,1.086059,1.080682,19341130,1,0.0860590000000001,0.0806819999999999
"106",19341231,0.999319,0.995585,19341231,0.992593,0.0067761912485782,0.00301432712098526
"107",19350131,0.957632,0.956245,19350131,1.014925,-0.0564504766362047,-0.0578170800798089
"108",19350228,0.96316,0.95734,19350228,1.007353,-0.0438704207958878,-0.0496479387066897
"109",19350330,0.968546,0.964676,19350330,1,-0.031454,-0.035324
"110",19350430,1.096493,1.095347,19350430,1.007299,0.088547690407714,0.0874099944505058
"111",19350531,1.038135,1.033059,19350531,1,0.038135,0.0330589999999999
"112",19350629,1.070533,1.067124,19350629,0.992754,0.0783467001895737,0.0749128182812659
"113",19350731,1.083814,1.082471,19350731,1,0.0838140000000001,0.082471
"114",19350831,1.026569,1.022105,19350831,1,0.0265690000000001,0.022105
"115",19350930,1.025526,1.022175,19350930,1,0.0255259999999999,0.0221750000000001
"116",19351031,1.071803,1.070634,19351030,1,0.0718030000000001,0.0706340000000001
"117",19351130,1.051943,1.04562,19351130,1.007299,0.0443205046366573,0.038043321794224
"118",19351231,1.039887,1.036744,19351231,1,0.039887,0.0367440000000001
"119",19360131,1.071832,1.070187,19360131,1,0.0718319999999999,0.070187
"120",19360229,1.022461,1.018857,19360229,1,0.0224610000000001,0.0188569999999999
"121",19360331,1.024029,1.021457,19360331,0.992754,0.0315032727140863,0.0289124999748176
"122",19360430,0.922412,0.921644,19360430,1,-0.077588,-0.078356
"123",19360529,1.053106,1.046971,19360529,1,0.0531060000000001,0.0469710000000001
"124",19360630,1.032542,1.029509,19360630,1.007299,0.0250600864291537,0.02204906388272
"125",19360731,1.073442,1.072356,19360731,1.007246,0.065719794369995,0.0646416069162845
"126",19360831,1.014124,1.00893,19360831,1.007194,0.00688050167097898,0.00172360041858877
"127",19360930,1.004817,1.001617,19360930,1,0.00481700000000007,0.00161699999999998
"128",19361031,1.076281,1.075272,19361031,1,0.076281,0.075272
"129",19361130,1.010666,0.999679,19361130,1,0.0106660000000001,-0.000321000000000016
"130",19361231,0.99617,0.992711,19361231,1,-0.00383,-0.00728899999999999
"131",19370130,1.036648,1.035916,19370130,1.007143,0.029295740525427,0.0285689321178821
"132",19370227,1.018483,1.01535,19370227,1,0.018483,0.01535
"133",19370331,0.996489,0.993758,19370331,1.007092,-0.010528333061925,-0.0132401012022736
"134",19370430,0.919354,0.91851,19370430,1.007042,-0.0870748191237307,-0.0879129172368184
"135",19370528,0.994301,0.988314,19370528,1.006993,-0.012603861198638,-0.0185492848510367
"136",19370630,0.946197,0.942147,19370630,1,-0.053803,-0.057853
"137",19370731,1.098991,1.098012,19370731,1.006944,0.0914122334509169,0.0904399847459243
"138",19370831,0.948817,0.943709,19370831,1,-0.051183,-0.056291
"139",19370930,0.86039,0.856317,19370930,1.006897,-0.145503462618321,-0.149548563557146
"140",19371030,0.897278,0.896297,19371030,1,-0.102722,-0.103703
"141",19371130,0.915711,0.899746,19371130,0.993151,-0.077974044228924,-0.0940491425775134
"142",19371231,0.954172,0.946981,19371231,0.993103,-0.0392013718617303,-0.0464423126302106
"143",19380131,1.012163,1.011096,19380131,0.986111,0.0264189325542459,0.0253369042633131
"144",19380228,1.065757,1.061131,19380228,0.992958,0.0733152862457427,0.0686564789245869
"145",19380331,0.745894,0.742049,19380331,1,-0.254106,-0.257951
"146",19380430,1.142667,1.140966,19380430,1.007092,0.134620273023716,0.132931251563909
"147",19380531,0.960027,0.953964,19380531,0.992958,-0.033164544723946,-0.0392705431649677
"148",19380630,1.253519,1.249304,19380630,1,0.253519,0.249304
"149",19380730,1.074738,1.073872,19380730,1,0.074738,0.0738719999999999
"150",19380831,0.974099,0.970535,19380831,1,-0.025901,-0.029465
"151",19380930,1.016932,1.013867,19380930,1,0.0169319999999999,0.0138670000000001
"152",19381031,1.07896,1.0782,19381031,0.992908,0.086666639809529,0.0859012113911863
"153",19381130,0.973793,0.967216,19381130,1,-0.026207,-0.032784
"154",19381231,1.04481,1.041538,19381231,1,0.04481,0.0415380000000001
"155",19390131,0.929494,0.928686,19390131,1,-0.070506,-0.071314
