Series ID,Year,Period,Label,Value
CUUR0000SA0L1E,1969,M04,1969 Apr,38.1
CUUR0000SA0L1E,1969,M05,1969 May,38.2
CUUR0000SA0L1E,1969,M06,1969 Jun,38.3
CUUR0000SA0L1E,1969,M07,1969 Jul,38.5
CUUR0000SA0L1E,1969,M08,1969 Aug,38.6
CUUR0000SA0L1E,1969,M09,1969 Sep,38.9
CUUR0000SA0L1E,1969,M10,1969 Oct,39.1
CUUR0000SA0L1E,1969,M11,1969 Nov,39.3
CUUR0000SA0L1E,1969,M12,1969 Dec,39.5
CUUR0000SA0L1E,1970,M01,1970 Jan,39.6
CUUR0000SA0L1E,1970,M02,1970 Feb,39.8
CUUR0000SA0L1E,1970,M03,1970 Mar,40.1
CUUR0000SA0L1E,1970,M04,1970 Apr,40.3
CUUR0000SA0L1E,1970,M05,1970 May,40.5
CUUR0000SA0L1E,1970,M06,1970 Jun,40.8
CUUR0000SA0L1E,1970,M07,1970 Jul,40.9
CUUR0000SA0L1E,1970,M08,1970 Aug,41.0
CUUR0000SA0L1E,1970,M09,1970 Sep,41.3
CUUR0000SA0L1E,1970,M10,1970 Oct,41.6
CUUR0000SA0L1E,1970,M11,1970 Nov,41.9
CUUR0000SA0L1E,1970,M12,1970 Dec,42.1
CUUR0000SA0L1E,1971,M01,1971 Jan,42.1
CUUR0000SA0L1E,1971,M02,1971 Feb,42.1
CUUR0000SA0L1E,1971,M03,1971 Mar,42.2
CUUR0000SA0L1E,1971,M04,1971 Apr,42.3
CUUR0000SA0L1E,1971,M05,1971 May,42.6
CUUR0000SA0L1E,1971,M06,1971 Jun,42.8
CUUR0000SA0L1E,1971,M07,1971 Jul,42.9
CUUR0000SA0L1E,1971,M08,1971 Aug,42.9
CUUR0000SA0L1E,1971,M09,1971 Sep,43.1
CUUR0000SA0L1E,1971,M10,1971 Oct,43.2
CUUR0000SA0L1E,1971,M11,1971 Nov,43.3
CUUR0000SA0L1E,1971,M12,1971 Dec,43.4
CUUR0000SA0L1E,1972,M01,1972 Jan,43.4
CUUR0000SA0L1E,1972,M02,1972 Feb,43.5
CUUR0000SA0L1E,1972,M03,1972 Mar,43.6
CUUR0000SA0L1E,1972,M04,1972 Apr,43.7
CUUR0000SA0L1E,1972,M05,1972 May,43.9
CUUR0000SA0L1E,1972,M06,1972 Jun,44.0
CUUR0000SA0L1E,1972,M07,1972 Jul,44.1
CUUR0000SA0L1E,1972,M08,1972 Aug,44.3
CUUR0000SA0L1E,1972,M09,1972 Sep,44.3
CUUR0000SA0L1E,1972,M10,1972 Oct,44.5
CUUR0000SA0L1E,1972,M11,1972 Nov,44.6
CUUR0000SA0L1E,1972,M12,1972 Dec,44.7
CUUR0000SA0L1E,1973,M01,1973 Jan,44.6
CUUR0000SA0L1E,1973,M02,1973 Feb,44.7
CUUR0000SA0L1E,1973,M03,1973 Mar,44.9
CUUR0000SA0L1E,1973,M04,1973 Apr,45.1
CUUR0000SA0L1E,1973,M05,1973 May,45.3
CUUR0000SA0L1E,1973,M06,1973 Jun,45.4
CUUR0000SA0L1E,1973,M07,1973 Jul,45.5
CUUR0000SA0L1E,1973,M08,1973 Aug,45.7
CUUR0000SA0L1E,1973,M09,1973 Sep,46.0
CUUR0000SA0L1E,1973,M10,1973 Oct,46.4
CUUR0000SA0L1E,1973,M11,1973 Nov,46.6
CUUR0000SA0L1E,1973,M12,1973 Dec,46.8
CUUR0000SA0L1E,1974,M01,1974 Jan,46.8
CUUR0000SA0L1E,1974,M02,1974 Feb,47.1
CUUR0000SA0L1E,1974,M03,1974 Mar,47.5
CUUR0000SA0L1E,1974,M04,1974 Apr,47.9
CUUR0000SA0L1E,1974,M05,1974 May,48.4
CUUR0000SA0L1E,1974,M06,1974 Jun,49.0
CUUR0000SA0L1E,1974,M07,1974 Jul,49.5
CUUR0000SA0L1E,1974,M08,1974 Aug,50.1
CUUR0000SA0L1E,1974,M09,1974 Sep,50.7
CUUR0000SA0L1E,1974,M10,1974 Oct,51.3
CUUR0000SA0L1E,1974,M11,1974 Nov,51.8
CUUR0000SA0L1E,1974,M12,1974 Dec,52.0
CUUR0000SA0L1E,1975,M01,1975 Jan,52.2
CUUR0000SA0L1E,1975,M02,1975 Feb,52.6
CUUR0000SA0L1E,1975,M03,1975 Mar,52.9
CUUR0000SA0L1E,1975,M04,1975 Apr,53.3
CUUR0000SA0L1E,1975,M05,1975 May,53.5
CUUR0000SA0L1E,1975,M06,1975 Jun,53.7
CUUR0000SA0L1E,1975,M07,1975 Jul,54.0
CUUR0000SA0L1E,1975,M08,1975 Aug,54.2
CUUR0000SA0L1E,1975,M09,1975 Sep,54.6
CUUR0000SA0L1E,1975,M10,1975 Oct,54.9
CUUR0000SA0L1E,1975,M11,1975 Nov,55.3
CUUR0000SA0L1E,1975,M12,1975 Dec,55.5
CUUR0000SA0L1E,1976,M01,1976 Jan,55.7
CUUR0000SA0L1E,1976,M02,1976 Feb,56.0
CUUR0000SA0L1E,1976,M03,1976 Mar,56.4
