"Year","Month","CPI_Rate","CPIC_Rate","PPI_Rate","PCE_Rate"
1913,2,0,NA,-0.00826446280991733,NA
1913,3,0,NA,0,NA
1913,4,0,NA,0,NA
1913,5,-0.0102040816326532,NA,-0.0083333333333333,NA
1913,6,0.0103092783505156,NA,0,NA
1913,7,0.010204081632653,NA,0.00840336134453779,NA
1913,8,0,NA,0,NA
1913,9,0.0101010101010101,NA,0.0166666666666666,NA
1913,10,0,NA,0,NA
1913,11,0.00999999999999996,NA,-0.00819672131147538,NA
1913,12,-0.00990099009900987,NA,-0.0165289256198347,NA
1914,1,0,NA,-0.00840336134453779,NA
1914,2,-0.00999999999999996,NA,0,NA
1914,3,0,NA,-0.00847457627118656,NA
1914,4,-0.0101010101010101,NA,0,NA
1914,5,0.010204081632653,NA,-0.00854700854700852,NA
1914,6,0,NA,0,NA
1914,7,0.0101010101010101,NA,0,NA
1914,8,0.0199999999999999,NA,0.0344827586206897,NA
1914,9,0,NA,0.0083333333333333,NA
1914,10,-0.00980392156862742,NA,-0.0330578512396695,NA
1914,11,0.00990099009900987,NA,0,NA
1914,12,-0.00980392156862742,NA,-0.00854700854700852,NA
1915,1,0,NA,0.0172413793103449,NA
1915,2,-0.00990099009900987,NA,0,NA
1915,3,-0.00999999999999996,NA,0,NA
1915,4,0.0101010101010101,NA,0,NA
1915,5,0.00999999999999996,NA,0.00847457627118641,NA
1915,6,0,NA,-0.00840336134453779,NA
1915,7,0,NA,0.00847457627118641,NA
1915,8,0,NA,-0.00840336134453779,NA
1915,9,0,NA,0,NA
1915,10,0.00990099009900987,NA,0.0254237288135592,NA
1915,11,0.00980392156862759,NA,0.0165289256198348,NA
1915,12,0,NA,0.040650406504065,NA
1916,1,0.00970873786407763,NA,0.0390625,NA
1916,2,0,NA,0.0150375939849624,NA
1916,3,0.00961538461538458,NA,0.0296296296296297,NA
1916,4,0.00952380952380949,NA,0.014388489208633,NA
1916,5,0.00943396226415091,NA,0.00709219858156026,NA
1916,6,0.0093457943925235,NA,0.00704225352112686,NA
1916,7,0,NA,0.00699300699300697,NA
1916,8,0.00925925925925923,NA,0.0208333333333333,NA
1916,9,0.0183486238532109,NA,0.0204081632653062,NA
1916,10,0.0180180180180181,NA,0.0466666666666666,NA
1916,11,0.0176991150442477,NA,0.070063694267516,NA
1916,12,0.00869565217391301,NA,0.0178571428571429,NA
1917,1,0.00862068965517238,NA,0.0292397660818713,NA
1917,2,0.0256410256410257,NA,0.0227272727272726,NA
1917,3,0,NA,0.0277777777777778,NA
1917,4,0.05,NA,0.0648648648648648,NA
1917,5,0.015873015873016,NA,0.0558375634517767,NA
1917,6,0.0156249999999999,NA,0.00961538461538458,NA
1917,7,-0.0153846153846153,NA,0.00952380952380949,NA
1917,8,0.0156249999999999,NA,0.0141509433962264,NA
1917,9,0.0230769230769231,NA,-0.00930232558139532,NA
1917,10,0.0150375939849624,NA,-0.00938967136150231,NA
1917,11,0,NA,0.00473933649289089,NA
1917,12,0.0148148148148148,NA,0,NA
1918,1,0.0218978102189782,NA,0.018867924528302,NA
1918,2,0.00714285714285712,NA,-0.0231481481481481,NA
1918,3,-0.00709219858156026,NA,0.0331753554502369,NA
1918,4,0.0142857142857142,NA,0.0137614678899083,NA
1918,5,0.0211267605633803,NA,0,NA
1918,6,0.0137931034482758,NA,0.00452488687782796,NA
1918,7,0.0272108843537415,NA,0.0225225225225225,NA
1918,8,0.0198675496688742,NA,0.0220264317180617,NA
1918,9,0.0194805194805194,NA,0.021551724137931,NA
1918,10,0.0191082802547771,NA,-0.00843881856540081,NA
1918,11,0.01875,NA,0,NA
1918,12,0.0122699386503067,NA,0,NA
1919,1,0,NA,-0.0127659574468085,NA
1919,2,-0.0181818181818182,NA,-0.0344827586206897,NA
1919,3,0.0123456790123456,NA,0.00892857142857156,NA
1919,4,0.0182926829268293,NA,0.0132743362831857,NA
1919,5,0.0119760479041916,NA,0.017467248908297,NA
1919,6,0,NA,0.00429184549356214,NA
1919,7,0.029585798816568,NA,0.0384615384615386,NA
1919,8,0.0172413793103449,NA,0.0246913580246913,NA
1919,9,0.00564971751412437,NA,-0.0240963855421686,NA
1919,10,0.0168539325842697,NA,0.00411522633744847,NA
1919,11,0.0220994475138121,NA,0.0204918032786885,NA
1919,12,0.0216216216216215,NA,0.0441767068273093,NA
1920,1,0.0211640211640213,NA,0.0461538461538461,NA
1920,2,0.0103626943005181,NA,-0.00367647058823522,NA
1920,3,0.0102564102564102,NA,0.00738007380073798,NA
1920,4,0.0304568527918782,NA,0.0439560439560439,NA
1920,5,0.0147783251231527,NA,0.0105263157894737,NA
1920,6,0.0145631067961164,NA,-0.00347222222222227,NA
1920,7,-0.00478468899521521,NA,-0.00348432055749122,NA
1920,8,-0.0240384615384615,NA,-0.027972027972028,NA
1920,9,-0.0147783251231527,NA,-0.0359712230215827,NA
1920,10,-0.00500000000000007,NA,-0.0708955223880598,NA
1920,11,-0.0050251256281406,NA,-0.0763052208835341,NA
1920,12,-0.0202020202020203,NA,-0.0956521739130435,NA
1921,1,-0.0206185567010309,NA,-0.0576923076923077,NA
1921,2,-0.0315789473684211,NA,-0.0765306122448979,NA
1921,3,-0.00543478260869554,NA,-0.0220994475138123,NA
1921,4,-0.0109289617486338,NA,-0.03954802259887,NA
1921,5,-0.0220994475138123,NA,-0.0235294117647058,NA
1921,6,-0.00564971751412417,NA,-0.0301204819277108,NA
1921,7,0.00568181818181806,NA,0,NA
1921,8,0,NA,0,NA
1921,9,-0.0112994350282485,NA,0,NA
