"Time","Year","Month","CPI_adjusted_Price","CPI_adjusted_Return"
Dec 1893,1893,12,160.594365992302,-0.0219700681949975
Jan 1894,1894,1,161.686818848468,0.00680256028544453
Feb 1894,1894,2,166.241263635569,0.0281683121700228
Mar 1894,1894,3,176.136936169529,0.0595259703731098
Apr 1894,1894,4,178.480221351385,0.0133037694013306
May 1894,1894,5,171.840913336126,-0.037199124726477
Jun 1894,1894,6,169.497628154269,-0.0136363636363638
Jul 1894,1894,7,165.982700381485,-0.02073732718894
Aug 1894,1894,8,167.379902427594,0.00841775704876315
Sep 1894,1894,9,167.675219546559,0.00176435231878037
Oct 1894,1894,10,167.076351267054,-0.00357159681152941
Nov 1894,1894,11,167.076351267054,0
Dec 1894,1894,12,167.935438033032,0.00514188129835531
Jan 1895,1895,1,165.982700381485,-0.0116279069767441
Feb 1895,1895,2,163.639415199629,-0.0141176470588235
Mar 1895,1895,3,163.639415199629,0
Apr 1895,1895,4,163.558194066621,-0.000496342112370353
May 1895,1895,5,170.177137136037,0.0404684284219954
Jun 1895,1895,6,171.154993234427,0.00574610734935376
Jul 1895,1895,7,174.237762967917,0.0180115676161878
Aug 1895,1895,8,179.277745899111,0.0289258932469343
Sep 1895,1895,9,180.400571030003,0.00626304801670139
Oct 1895,1895,10,177.780645724588,-0.0145228215767634
Nov 1895,1895,11,171.792245026497,-0.0336842105263159
Dec 1895,1895,12,163.963986051521,-0.045568174359495
Jan 1896,1896,1,164.381571407908,0.0025468114458772
Feb 1896,1896,2,173.793650987672,0.0572575106756244
Mar 1896,1896,3,171.059818275507,-0.0157303370786518
Apr 1896,1896,4,175.160659503062,0.0239731414945753
May 1896,1896,5,176.970681841417,0.0103334980782258
Jun 1896,1896,6,176.385525774602,-0.00330651416792028
Jul 1896,1896,7,164.953130585508,-0.0648148148148148
Aug 1896,1896,8,155.562234537323,-0.056930693069307
Sep 1896,1896,9,163.728231100962,0.05249343832021
Oct 1896,1896,10,162.479344787908,-0.00762780068321728
Nov 1896,1896,11,168.616225472281,0.0377702205310055
Dec 1896,1896,12,162.456728651375,-0.0365296803652968
Jan 1897,1897,1,167.234837806091,0.0294115805136577
Feb 1897,1897,2,165.649673466696,-0.00947867298578216
Mar 1897,1897,3,166.045964551545,0.00239234449760791
Apr 1897,1897,4,163.295674608217,-0.0165634253789665
May 1897,1897,5,166.586329898236,0.0201515153289486
Jun 1897,1897,6,174.344026633693,0.0465686274509802
Jul 1897,1897,7,182.10172336915,0.0444964871194381
Aug 1897,1897,8,185.510076896954,0.0187167560237463
Sep 1897,1897,9,189.014039476058,0.0188882600757643
Oct 1897,1897,10,185.55484172977,-0.018301274105761
